,x,y,z,vx,vy,vz,time
2093,-8558.618562894157,1125.164099299472,-3538.975917429701,0.2672080587328059,-5.56446806193143,-2.3204393698117944,62710
2094,-8558.15395099181,1119.6798673148098,-3541.249909489554,0.27136007386625804,-5.565096835039203,-2.3187780688781743,62710
2095,-8558.785303810972,1126.4058839305096,-3538.52376572567,0.26621206535969294,-5.564273686314693,-2.3207912868818266,62710
2096,-8558.411112468033,1122.1301964930265,-3540.2550466314265,0.26945634775896204,-5.564764148251341,-2.31955114665389,62710
2097,-8558.883619215252,1128.244797047528,-3537.701969057672,0.2648478165066367,-5.564071795000094,-2.3214668998679664,62710
2098,-8558.651249873958,1125.7573420172757,-3538.7341277644523,0.2667703079678983,-5.564400799229033,-2.3206435248371386,62710
2099,-8559.099065475666,1130.5170498343791,-3536.7898893022725,0.2631125861027652,-5.5637943755581905,-2.3221257102733963,62710
2100,-8289.161454181978,-559.9662134419615,-4152.882007722982,1.5210119260775345,-5.606302392625369,-1.7479343111616996,63010
2101,-8286.235659801714,-569.7258187825345,-4155.906371027937,1.5281967610409823,-5.605927934910801,-1.7443646706339642,63010
2102,-8288.739536833635,-561.3975858362871,-4153.338026383522,1.5220576631654343,-5.606251636588442,-1.7473778579782648,63010
2103,-8290.170853285663,-556.6857570518911,-4151.869240766784,1.5185759660159395,-5.606414866955991,-1.7491158822768889,63010
2104,-8288.462614860942,-562.237215449185,-4153.59055075416,1.5226966796132069,-5.606226929287033,-1.7470978227724892,63010
2105,-8290.639702844797,-555.4129248034025,-4151.535946744098,1.5175614552472845,-5.606405468765089,-1.749556326943674,63010
2106,-8289.292402505445,-559.7412167226227,-4152.8529300708105,1.5207902134169056,-5.606259617734912,-1.7480380359450376,63010
2107,-8291.143531484653,-553.5544219002524,-4150.934124629412,1.516227788593139,-5.6064781652710645,-1.7503443210571463,63010
2108,-8290.334205325187,-556.0855224493179,-4151.694043415907,1.518144437406347,-5.606436113252251,-1.7493548776717542,63010
2109,-8291.880333105295,-551.2491283431712,-4150.242527033434,1.5144948185219675,-5.606538946483232,-1.7511537244719217,63010
2110,-7649.718323226879,-2216.5484808877422,-4579.821573847975,2.7323943079512683,-5.394548503114145,-1.0839110706694466,63310
2111,-7644.673502161496,-2225.9702932432183,-4581.690599993735,2.7392987518976986,-5.392656135514832,-1.0797897449016867,63310
2112,-7648.9884717047225,-2217.9316434898033,-4580.098401030761,2.733396192445737,-5.394275770508242,-1.0832747896317045,63310
2113,-7651.447309868162,-2213.377785049304,-4579.192497854257,2.7300458051346084,-5.3951732690174765,-1.0852839656831395,63310
2114,-7648.522021557897,-2218.744232217753,-4580.258925683047,2.734017244870951,-5.394118490580864,-1.0829421182972832,63310
2115,-7652.220232778367,-2212.1325767376807,-4579.004545606208,2.7290381613808674,-5.395370956420658,-1.0858121800635028,63310
2116,-7649.918137461783,-2216.3166327689564,-4579.827127980364,2.732157533367929,-5.394547666276743,-1.0840387003119394,63310
2117,-7653.11528695948,-2210.338349792669,-4578.65382028667,2.727769843643988,-5.3957289192977065,-1.0866952262556728,63310
2118,-7651.737752026245,-2212.797716567664,-4579.093623561559,2.729632167756591,-5.39528728405264,-1.0855529570648454,63310
2119,-7654.365575635928,-2208.1050281558137,-4578.226298351463,2.726088725511329,-5.396152476071365,-1.0876442670465762,63310
2120,-6657.402746431918,-3770.2773986415496,-4795.232708591384,3.866702440716253,-4.9185427726044155,-0.3400357235355358,63610
2121,-6650.359435348036,-3778.8920099727657,-4795.792015910872,3.8730741435242395,-4.915037223815089,-0.3354407171585869,63610
2122,-6656.383226608152,-3771.5437622823924,-4795.308215851854,3.8676250618699495,-4.918034433989785,-0.3393322764135701,63610
2123,-6659.812636132149,-3767.37533398045,-4795.041245556763,3.864527799014646,-4.919714985298377,-0.341575399001829,63610
2124,-6655.736026517795,-3772.2879363876364,-4795.3616182740325,3.8682045394845606,-4.917733756981452,-0.33895183634010895,63610
2125,-6660.882462589314,-3766.223792068883,-4795.024515025897,3.8635632700246774,-4.920146435604217,-0.3421876150877076,63610
2126,-6657.675124123528,-3770.0532815826355,-4795.280432147972,3.866457019991218,-4.918597653590951,-0.3401894463954154,63610
2127,-6662.143172622312,-3764.5815559033404,-4794.950635914074,3.8624015678324923,-4.920804494617708,-0.3431467548381639,63610
2128,-6660.22276404167,-3766.8440545936282,-4795.026897016441,3.8641461734016227,-4.919927207217135,-0.34186888977176866,63610
2129,-6663.88241000814,-3762.5332868287933,-4794.82695407254,3.860834866160243,-4.921619599348017,-0.3442201870281032,63610
2130,-5341.960341092414,-5139.947831341955,-4777.433037948275,4.877930690134608,-4.165315780974165,0.46771115816573383,63910
2131,-5333.12468192686,-5147.2566299655,-4776.556127842544,4.883446942452634,-4.160101213279971,0.47266830899505513,63910
2132,-5340.681448087728,-5141.024553824821,-4777.289521525199,4.878728601706051,-4.16455760835148,0.4684643979666452,63910
2133,-5344.983002642112,-5137.4840305440075,-4777.724153189232,4.876041308398469,-4.167070759171442,0.4660411418543844,63910
2134,-5339.870392157935,-5141.655659393707,-4777.222608388458,4.879235620156952,-4.164102868058646,0.4688842619259496,63910
2135,-5346.329489257806,-5136.500516735598,-4777.902514156499,4.875171586398836,-4.167764012314703,0.465355250779686,63910
2136,-5342.306111636807,-5139.750485547971,-4777.530821169573,4.877689649825148,-4.165442041160347,0.46753145205171454,63910
2137,-5347.916285691623,-5135.10284337593,-4778.124890229223,4.8741694806665885,-4.168739191329826,0.46434400209782273,63910
2138,-5345.500604609028,-5137.031886259403,-4777.800652722611,4.875709908752371,-4.167387042043302,0.46573040978371427,63910
2139,-5350.098428731359,-5133.361492702767,-4778.339013311764,4.87279907599039,-4.169974652718152,0.4631705436543754,63910
2140,-3748.825899918074,-6240.587570154729,-4510.4783416331675,5.706761322931611,-3.123569223316889,1.3163402894216991,64210
2141,-3738.514613026963,-6246.066758470513,-4508.08034655614,5.7110037281611,-3.11658072083323,1.321488554817203,64210
2142,-3747.333561172403,-6241.397963908447,-4510.104479166068,5.7073751399214085,-3.1225508278493184,1.3171174100954222,64210
2143,-3752.3549385703377,-6238.740996628265,-4511.2831922628475,5.705302214745993,-3.1259313416463534,1.3145972914552808,64210
2144,-3746.386181100496,-6241.868546004594,-4509.907382573037,5.707769339448001,-3.1219347343834403,1.3175623960607619,64210
