,x,y,z
104,608.0256120322383,2319.2424074997434,6816.726582251714
105,1591.1624491355042,1864.639842161982,6399.672160233433
106,300.12295060814887,3564.317026720214,6251.178727503411
107,300.12295060814887,3564.317026720214,6251.178727503411
108,-2397.894307679086,6727.1013358237715,-843.6816498319415
109,-4239.114219908494,128.47152388507783,-5472.255438625442
110,2210.531700425359,-4932.282672589104,4677.523653374633
111,2210.531700425359,-4932.282672589104,4677.523653374633
112,-4226.223755013403,-732.0971766066571,-5434.778441040898
113,1459.3731931588861,4031.0012140479503,-5436.113666442283
114,4273.5072291877095,3564.1132696053924,-4128.611860868083
115,-33136.76914693171,26495.29081403389,2854.670233306561
116,6676.512433212664,1756.7006064684629,-686.6719693665929
117,4703.0223404630215,-51.99767046238929,4941.913269981924
118,4703.0223404630215,-51.99767046238929,4941.913269981924
119,12773.482525213389,-39895.403830450945,-193.91738797740248
120,12773.482525213389,-39895.403830450945,-193.91738797740248
121,6912.712674386471,94.29567321936155,-581.426475989665
122,2126.8879726245154,-5312.911485909314,-3909.0630994840135
123,4133.344592708886,3863.034804667018,-4000.732220985937
124,16169.375296164075,19797.34496194894,-230.13796547336955
125,16169.375296164075,19797.34496194894,-230.13796547336955
126,41359.13138292336,-1003.9803081259602,256.3529711783994
127,5350.109141205496,3681.828790050978,3239.4344871149783
128,5179.200539675712,2529.3869750969816,-3846.767555221832
129,-2348.2532956469754,6744.5603638500825,-496.54314033724154
130,40442.10521655484,12691.65705633266,790.0867134169924
131,40442.10521655484,12691.65705633266,790.0867134169924
132,1526.7314135215936,-1140.755885119234,6565.627757844682
133,547.4601001338466,-6390.704898639994,2878.048997362177
134,-1581.3357895599804,-6309.453813373696,-3597.672731579763
135,-1581.3357895599804,-6309.453813373696,-3597.672731579763
136,-2761.624946439404,5264.481366594604,-3559.7909419126327
137,-2761.624946439404,5264.481366594604,-3559.7909419126327
138,5317.823204325354,-3557.274442633598,-1912.3489753575266
139,-4192.768230129633,1878.7789359707872,-5177.795732336214
140,14816.648729171264,-14281.79441815236,15396.025907419995
141,1238.3539456553065,-364.36289397320377,7074.773946067032
142,-4581.809944961552,995.0767800530487,-5093.270771855424
143,-4710.380001876738,257.4164963472525,-5067.082711478603
144,-3581.855845376853,-139.65622252371736,-6016.424618757145
145,-4260.387959519091,4437.27696336203,-3189.1406195074114
146,-4947.1630218712435,3738.819407691633,-3091.8858960684834
147,-4260.387959519091,4437.27696336203,-3189.1406195074114
148,5652.156707349755,2466.239257080102,-3160.512203660162
149,16937.140563667694,-16542.582545499747,-9532.150206695975
150,1250.7344594579874,-4614.260445989059,-5131.619256065792
151,-370.1357522076809,5346.22453212921,5461.79035541615
152,-4810.121908335212,74.76533294863947,-4977.676278512466
153,6856.661935283906,-970.4318824918878,415.601296964731
